id,timestamp,x,y,angle
3,66,370,284,1.936544
2,66,337,255,0.820845
1,66,379,212,4.026659654
0,66,475,135,4.333737654
3,99,365,280,2.164339
2,99,336,255,0.792491
1,99,378,212,3.891545654
0,99,472,138,4.204326654
3,133,368,284,2.047836
2,133,336,255,0.778307
1,133,377,212,3.990734654
0,133,469,141,4.090972654
3,166,368,284,2.047836
2,166,336,255,0.806672
1,166,376,211,4.048688654
0,166,468,143,4.040783654
3,199,368,284,2.061343
2,199,337,253,0.785399
1,199,376,213,3.962437654
0,199,465,145,4.076936654
3,233,368,284,2.070143
2,233,337,252,0.806672
1,233,376,213,3.934083654
0,233,465,150,4.141051654
3,266,368,284,2.10607
2,266,336,251,0.792491
1,266,377,212,3.962437654
0,266,462,154,4.168556654
3,299,367,284,2.150512
2,299,336,250,0.74317
1,299,377,211,4.018929654
0,299,460,159,4.082859654
3,333,367,283,2.150512
2,333,336,250,0.735794
1,333,377,212,4.048688654
0,333,459,159,3.998298654
3,366,367,283,2.150512
2,366,336,250,0.749953
1,366,377,212,3.990734654
0,366,456,159,3.912907654
2,399,336,250,0.699894
1,399,377,212,4.018929654
0,399,455,161,3.807003654
3,400,367,283,2.150512
3,433,367,282,2.150512
2,433,337,250,0.735794
1,433,377,211,3.990734654
0,433,449,164,3.771123654
3,466,366,282,2.150512
2,466,336,250,0.749953
1,466,377,211,4.032975654
0,466,450,164,3.785094654
2,499,336,250,0.778307
1,499,377,211,3.990734654
0,499,438,170,3.623257654
3,500,366,282,2.150512
3,533,366,282,2.150512
2,533,336,250,0.799482
1,533,377,211,4.004847654
0,533,435,170,3.510927654
3,566,366,282,2.150512
2,566,336,250,0.778307
1,566,376,211,4.034488654
0,566,433,170,3.453940654
2,599,336,250,0.757237
1,599,376,211,4.004847654
0,599,428,170,3.428214654
3,600,366,282,2.150512
3,633,369,281,2.142134
2,633,336,248,0.764125
1,633,377,211,4.054861654
0,633,425,170,3.384145654
3,666,369,281,2.142134
2,666,335,248,0.721655
1,666,377,211,4.026659654
0,666,425,170,3.374407654
3,699,367,279,2.192212
2,699,336,249,0.69346
1,699,377,211,4.004847654
0,699,425,170,3.384145654
3,733,367,279,2.178241
2,733,335,247,0.593544
1,733,377,211,4.032975654
0,733,424,171,3.354798654
3,766,367,279,2.119821
2,766,335,247,0.579716
1,766,377,211,4.062839654
0,766,424,171,3.384145654
3,799,367,280,2.10607
2,799,337,247,0.629531
1,799,377,211,4.076936654
0,799,424,171,3.344929654
3,833,368,280,2.038928
2,833,337,246,0.599176
1,833,377,211,4.034488654
0,833,422,174,3.415761654
3,866,368,280,2.038928
2,866,337,245,0.571338
1,866,377,211,4.018929654
0,866,421,174,3.406082654
3,899,367,280,2.05246
2,899,338,245,0.607445
1,899,376,211,4.032975654
0,899,423,174,3.425387654
3,933,364,279,2.10607
2,933,338,244,0.477041
1,933,376,207,4.076936654
0,933,423,174,3.437871654
3,966,363,279,2.097423
2,966,338,242,0.283795
1,966,377,207,4.026659654
0,966,419,176,3.523972654
3,999,363,279,2.097423
2,999,338,242,0.261886
1,999,377,207,3.998298654
0,999,419,176,3.542543654
3,1033,363,279,2.092414
2,1033,337,239,0.150373
1,1033,377,207,3.976595654
0,1033,419,176,3.510927654
3,1066,363,276,2.016508
2,1066,338,239,0.150373
1,1066,378,205,3.919899654
0,1066,419,176,3.533293654
3,1099,364,276,2.047836
2,1099,338,239,0.150373
1,1099,378,205,3.877386654
0,1099,419,176,3.510927654
3,1133,364,275,2.083731
2,1133,338,239,0.11943
1,1133,378,204,3.863247654
0,1133,417,175,3.564904654
3,1166,364,274,2.128337
2,1166,339,238,0.09967
1,1166,380,207,3.685425654
0,1166,417,174,3.632140654
3,1199,363,272,2.200326
2,1199,339,238,0.11943
1,1199,380,206,3.785094654
0,1199,417,174,3.668220654
3,1233,363,273,2.222249
2,1233,339,238,0.09967
1,1233,375,210,3.962437654
